Doc. ID,Document Code,Document Name,Rev. #,Department,Doc. Type,Doc. Category,Site Name,Doc. Reference,Status
344,CO-OPS-SOP-121,CTNG T7 Diluent Rev 3.0 (NZ source BSA),2,Operations,Standard Operating Procedure,QMS,Corporate,QS-MFG-129,Active
345,CO-OPS-SOP-112,600pM Stocks of Synthetic Uracil containing Amplicon,3,Operations,Standard Operating Procedure,QMS,Corporate,QS-MFG-138,Active
346,CO-OPS-SOP-111,50U/uL T7 Exonuclease in CTNG Storage Buffer,4,Operations,Standard Operating Procedure,QMS,Corporate,QS-MFG-139,Active
347,CO-OPS-SOP-128,Preparation of TV 10 thousand cells/uL Master Stocks,2,Operations,Standard Operating Procedure,QMS,Corporate,QS-MFG-142,Active
348,CO-OPS-SOP-116,Contrived Vaginal Matrix in eNAT,2,Operations,Standard Operating Procedure,QMS,Corporate,QS-MFG-146,Active
350,CO-QA-T-038,binx Memorandum Template,8,Quality Assurance,Templates,QMS,Corporate,QS-T-003,Active
352,CO-DES-T-040,binx Report Template,7,Design,Templates,QMS,Corporate,QS-T-005,Active
353,CO-DES-T-041,binx Technical Report Template,8,Design,Templates,QMS,Corporate,QS-T-006,Active
354,CO-QA-T-042,binx Meeting Minutes Template,6,Quality Assurance,Templates,QMS,Corporate,QS-T-007,Active
356,CO-QA-T-044,Competency Assessment Form,5,Quality Assurance,Templates,QMS,Corporate,QS-T-028,Active
357,CO-QA-T-045,Additional Training Form,4,Quality Assurance,Templates,QMS,Corporate,QS-T-029,Active
359,CO-QA-T-047,Individual Training Plan,10,Quality Assurance,Templates,QMS,Corporate,QS-T-031,Active
360,CO-QA-T-048,Specimen Signature Log,4,Quality Assurance,Templates,QMS,Corporate,QS-T-032,Active
361,CO-QA-T-049,Document Acceptance Form,5,Quality Assurance,Templates,QMS,Corporate,QS-T-034,Active
363,CO-QC-T-051,Controlled Lab Notes Template,6,Quality Control,Templates,QMS,Corporate,QS-T-037,Active
364,CO-SUP-FRM-046,Supplier Questionnaire - Calibration/Equipment maintenance,4,Supply Chain,Forms,QMS,Corporate,QS-T-038a,Active
365,CO-SUP-FRM-042,Supplier Questionnaire - Chemical/Reagent/Microbiological,4,Supply Chain,Forms,QMS,Corporate,QS-T-038b,Active
366,CO-SUP-FRM-047,Supplier Questionnaire - Hardware,4,Supply Chain,Forms,QMS,Corporate,QS-T-038c,Active
367,CO-SUP-FRM-048,Supplier Questionnaire - Consultant/Services,4,Supply Chain,Forms,QMS,Corporate,QS-T-038d,Active
370,CO-DES-T-058,Project Planning Template,4,Design,Templates,QMS,Corporate,QS-T-062,Active
371,CO-DES-T-059,FMEA template,3,Design,Templates,QMS,Corporate,QS-T-065,Active
372,CO-DES-T-060,Verification Testing Protocol template,8,Design,Templates,QMS,Corporate,QS-T-066,Active
373,CO-DES-T-061,Verification Testing Report template,7,Design,Templates,QMS,Corporate,QS-T-067,Active
374,CO-DES-T-062,Risk Management Plan template,3,Design,Templates,QMS,Corporate,QS-T-069,Active
375,CO-DES-T-063,Risk/benefit template,3,Design,Templates,QMS,Corporate,QS-T-070,Active
376,CO-DES-T-064,Risk Management Report template,3,Design,Templates,QMS,Corporate,QS-T-071,Active
377,CO-DES-T-065,Validation Master Plan (or Plan) template,5,Design,Templates,QMS,Corporate,QS-T-073,Active
378,CO-DES-T-066,Validation Matrix template,2,Design,Templates,QMS,Corporate,QS-T-074,Active
379,CO-DES-T-067,Hazard Analysis template,8,Design,Templates,QMS,Corporate,QS-T-075,Active
380,CO-DES-T-068,Experimental Template: Write Up,6,Design,Templates,QMS,Corporate,QS-T-095b,Active
381,CO-SAM-T-069,Copy Approval Form,3,Sales and Marketing,Templates,QMS,Corporate,QS-T-096,Active
383,CO-QC-T-071,Detection Reagent Analysis Template,5,Quality Control,Templates,QMS,Corporate,QS-T-098,Active
385,CO-QC-T-073,CL2 Laboratory Cleaning Record,9,Quality Control,Templates,QMS,Corporate,QS-T-100,Active
388,CO-QC-T-076,Environmental Chamber Monitoring Form,4,Quality Control,Templates,QMS,Corporate,QS-T-103,Active
390,CO-QA-T-078,Field Action Implementation Checklist,4,Quality Assurance,Templates,QMS,Corporate,QS-T-108,Active
391,CO-QA-T-079,Field Corrective Action File Review Form,3,Quality Assurance,Templates,QMS,Corporate,QS-T-109,Active
394,CO-QC-T-082,qPCR QC Testing Data Analysis,14,Quality Control,Templates,QMS,Corporate,QS-T-137,Active
395,CO-DES-T-083,product requirements Specification Template,3,Design,Templates,QMS,Corporate,QS-T-139,Active
396,CO-DES-T-084,Pilot Line Electronic Stock Register,5,Design,Templates,QMS,Corporate,QS-T-141,Active
397,CO-SUP-FRM-043,Initial Risk Assessment and Supplier Approval,3,Supply Chain,Forms,QMS,Corporate,QS-T-143,Active
398,CO-QA-T-086,Supplier Re-assessment Approval form,4,Quality Assurance,Templates,QMS,Corporate,QS-T-144,Active
399,CO-QA-T-087,Standard / Guidance Review,4,Quality Assurance,Templates,QMS,Corporate,QS-T-147,Active
407,CO-QC-T-095,Reagent Aliquot From,6,Quality Control,Templates,QMS,Corporate,QS-T-168,Active
408,CO-QC-T-096,Quarterly Reagent Check Record,4,Quality Control,Templates,QMS,Corporate,QS-T-169,Active
410,CO-SUP-T-098,Non Approved Supplier SAP by D supplier information,4,Supply Chain,Templates,QMS,Corporate,QS-T-173,Active
411,CO-DES-T-099,Device Master Record,2,Design,Templates,QMS,Corporate,QS-T-174,Active
414,CO-QC-T-102,CTNG Cartridge Cof A,12,Quality Control,Templates,QMS,Corporate,QS-T-180,Active
415,CO-QC-T-103,Lab investigation initiation Template,1,Quality Control,Templates,QMS,Corporate,QS-T-184a,Active
417,CO-QC-T-105,T7 QC Testing Data Analysis,7,Quality Control,Templates,QMS,Corporate,QS-T-115,Active
418,CO-QA-T-106,Vigilance Form,3,Quality Assurance,Templates,QMS,Corporate,QS-T-116,Active
419,CO-QC-T-107,Bioanalyzer Cleaning Record,3,Quality Control,Templates,QMS,Corporate,QS-T-117,Active
421,CO-QA-T-109,Archiving Box Contents List,4,Quality Assurance,Templates,QMS,Corporate,QS-T-127,Active
422,CO-QA-T-110,Document Retrieval Request,3,Quality Assurance,Templates,QMS,Corporate,QS-T-128,Active
423,CO-OPS-T-111,Generic Cartridge Subassembly Build,3,Operations,Templates,QMS,Corporate,QS-T-129,Active
424,CO-DES-T-112,Pilot Line Use Log,6,Design,Templates,QMS,Corporate,QS-T-130,Active
426,CO-DES-T-114,Validation Summary Report,2,Design,Templates,QMS,Corporate,QS-T-132,Active
427,CO-QC-T-115,Incoming Oligo QC Form,3,Quality Control,Templates,QMS,Corporate,QS-T-133,Active
430,CO-QC-T-118,Moby Detection Reagent Analysis Spreadsheet,12,Quality Control,Templates,QMS,Corporate,QS-T-153,Out For Revision
432,CO-QC-T-120,QC Laboratory Cleaning Record,5,Quality Control,Templates,QMS,Corporate,QS-T-156,Active
433,CO-QC-T-121,Impulse Sealer Use Log,2,Quality Control,Templates,QMS,Corporate,QS-T-157,Active
434,CO-FIN-FRM-282,Fixed Asset Transfer Form,3,Finance,Forms,QMS,Corporate,QS-T-159,Active
436,CO-DES-T-124,Design Transfer Form,2,Design,Templates,QMS,Corporate,QS-T-161,Active
437,CO-DES-T-125,Software Development Tool Approval,2,Design,Templates,QMS,Corporate,QS-T-162,Active
438,CO-DES-T-126,Soup Approval,2,Design,Templates,QMS,Corporate,QS-T-163,Active
440,CO-QC-T-128,LAB investigation summary report,1,Quality Control,Templates,QMS,Corporate,QS-T-184b,Active
441,CO-DES-T-129,Customer Requirements Specification,1,Design,Templates,QMS,Corporate,QS-T-185,Active
442,CO-OPS-T-130,Equipment Fulfilment Order,3,Operations,Templates,QMS,Corporate,QS-T-186,Active
443,CO-CS-T-131,Customer Service Script,1,Customer Support,Templates,QMS,Corporate,QS-T-187,Out For Revision
444,CO-CS-T-149,Instrument Trouble Shooting Script,1,Customer Support,Templates,QMS,Corporate,QS-T-188,Out For Revision
446,CO-FIN-T-134,UK Trade Credit Application,2,Finance,Templates,QMS,Corporate,QS-T-190,Active
447,CO-CS-T-135,Equipment Return Order,4,Customer Support,Templates,QMS,Corporate,QS-T-191,Active
448,CO-QC-T-136,Reagent Design template,1,Quality Control,Templates,QMS,Corporate,QS-T-192,Active
450,CO-QC-T-138,Summary technical Documentation (for assay),2,Quality Control,Templates,QMS,Corporate,QS-T-194,Active
451,CO-OPS-T-139,Cartridge and Packing Bill of Materials Template,1,Operations,Templates,QMS,Corporate,QS-T-195,Active
452,CO-DES-PTL-001,Measuring pH values IQ/OQ Protocol,2,Design,Protocol,QMS,Corporate,QS-VAL-031,Active
453,CO-DES-PTL-002,Validation of Abacus Guardian,2,Design,Protocol,QMS,Corporate,QS-VAL-047,Active
454,CO-DES-T-140,Reagent Design Transfer Checklist,1,Design,Templates,QMS,Corporate,QS-T-196,Active
455,CO-QA-T-141,Document Signoff Front Sheet,3,Quality Assurance,Templates,QMS,Corporate,QS-T-197,Active
456,CO-QA-T-142,Document and Record Disposition Form,2,Quality Assurance,Templates,QMS,Corporate,QS-T-198,Active
457,CO-QA-T-143,Periodic Training Review Form,3,Quality Assurance,Templates,QMS,Corporate,QS-T-199,Active
458,CO-QC-T-144,QC io Mainternance Log,3,Quality Control,Templates,QMS,Corporate,QS-T-200,Active
459,CO-QA-T-145,Certificate of Conformance,2,Quality Assurance,Templates,QMS,Corporate,QS-T-201,Active
460,CO-DES-PTL-003,Temperature controlled equipment,3,Design,Protocol,QMS,Corporate,QS-VAL-009,Active
461,CO-DES-PTL-004,Monmouth 1200,2,Design,Protocol,QMS,Corporate,QS-VAL-015,Active
462,CO-DES-PTL-005,IQ/OQ for Agilent Bioanalyzer,2,Design,Protocol,QMS,Corporate,QS-VAL-019,Active
463,CO-DES-PTL-006,Balance IQ/OQ,3,Design,Protocol,QMS,Corporate,QS-VAL-020,Active
464,CO-DES-PTL-007,Pilot Line Process & Equipment Validation,3,Design,Protocol,QMS,Corporate,QS-VAL-026,Active
465,CO-DES-PTL-008,Calibration of V&V Laboratory Timers,3,Design,Protocol,QMS,Corporate,QS-VAL-027,Active
467,CO-QA-SOP-024,Sharepoint Administration,3,Quality Assurance,Standard Operating Procedure,QMS,Corporate,QS-DOC-014,Active
468,CO-QA-SOP-025,Management Review,11,Quality Assurance,Standard Operating Procedure,QMS,Corporate,QS-MGT-004,Active
469,CO-QA-SOP-026,Use of Sharepoint,6,Quality Assurance,Standard Operating Procedure,QMS,Corporate,QS-DOC-007,Active
470,CO-QA-SOP-028,Quality Records,10,Quality Assurance,Standard Operating Procedure,QMS,Corporate,QS-DOC-010,Active
471,CO-QA-T-146,QT9 SOP Template,2,Quality Assurance,Templates,QMS,Corporate,,Active
472,CO-QA-SOP-030,Accessing and Finding Documents in QT9,3,Quality Assurance,Standard Operating Procedure,QMS,Corporate,,Active
473,CO-QA-SOP-031,Revising and Introducing Documents in QT9,4,Quality Assurance,Standard Operating Procedure,QMS,Corporate,,Active
474,CO-OPS-SOP-032,Validation of Automated Equipment and Quality System Software,3,Operations,Standard Operating Procedure,QMS,Corporate,QS-V-004,Out For Revision
475,CO-OPS-SOP-033,T7 Diluent (NZ Source BSA) Solution,3,Operations,Standard Operating Procedure,QMS,Corporate,QS-MFG-066,Active
476,CO-OPS-SOP-034,Test Method Validation,3,Operations,Standard Operating Procedure,QMS,Corporate,QS-V-005,Active
477,CO-OPS-SOP-035,Engineering Drawing Control,3,Operations,Standard Operating Procedure,QMS,Corporate,QS-DOC-005,Out For Revision
478,CO-OPS-SOP-036,Instrument Engineering Change Management,2,Operations,Standard Operating Procedure,QMS,Corporate,QS-DOC-008,Active
481,CO-SUP-SOP-068,Purchasing SOP,15,Supply Chain,Standard Operating Procedure,QMS,Corporate,QS-STK-004,Active
483,CO-DES-SOP-041,Design Review Work Instruction,6,Design,Standard Operating Procedure,QMS,Corporate,QS-DES-006,Active
484,CO-DES-SOP-042,Creation and Maintenance of a Device Master Record (DMR),4,Design,Standard Operating Procedure,QMS,Corporate,QS-DES-011,Active
485,CO-QA-SOP-043,Training Procedure,8,Quality Assurance,Standard Operating Procedure,QMS,Corporate,QS-TRA-001,Active
486,CO-IT-SOP-044,IT Management Back-UP and Support,5,Information Technology,Standard Operating Procedure,QMS,Corporate,QS-DOC-006,Active
487,CO-SUP-SOP-069,Supplier Evaluation,10,Supply Chain,Standard Operating Procedure,QMS,Corporate,QS-STK-005,Active
488,CO-SUP-SOP-070,Supplier Risk Assessment Approval and Monitoring Procedure,6,Supply Chain,Standard Operating Procedure,QMS,Corporate,QS-STK-011,Active
489,CO-LAB-SOP-072,Instructions for receipt of incoming Non-Stock goods  assigning GRN numbers and labelling,14,Laboratory,Standard Operating Procedure,QMS,Corporate,QS-STK-007,Out For Revision
493,CO-QA-REG-001,Change Management Register,10,Quality Assurance,Registers,QMS,Corporate,QS-REG-023,Active
497,CO-QA-REG-005,Supplier Concession Register,1,Quality Assurance,Registers,QMS,Corporate,QS-REG-042,Active
498,CO-QA-SOP-076,Stakeholder Feedback and Product Complaints Handling Procedure,9,Quality Assurance,Standard Operating Procedure,QMS,Corporate,QS-MGT-006,Active
500,CO-QA-SOP-077,Supplier Audit Procedure,10,Quality Assurance,Standard Operating Procedure,QMS,Corporate,QS-MGT-003,Active
501,CO-QA-REG-007,Bacterial Stock Register,2,Quality Assurance,Registers,QMS,Corporate,QS-REG-056,Active
502,CO-LAB-SOP-078,Preparation of Bacterial Stocks (Master & Working),6,Laboratory,Standard Operating Procedure,QMS,Corporate,QS-LAB-016,Active
503,CO-LAB-SOP-079,Use and Cleaning of Class II Microbiology Safety Cabinet,7,Laboratory,Standard Operating Procedure,QMS,Corporate,QS-LAB-017,Active
504,CO-LAB-SOP-080,Use of Agilent Bioanalyzer DNA 1000 kits,6,Laboratory,Standard Operating Procedure,QMS,Corporate,QS-LAB-025,Active
505,CO-CA-SOP-081,Collection of In-house Collected Samples,2,Clinical Affairs,Standard Operating Procedure,QMS,Corporate,QS-LAB-094,Active
506,CO-LAB-SOP-082,Use of the Rotary Vane Anemometer,2,Laboratory,Standard Operating Procedure,QMS,Corporate,QS-LAB-095,Active
507,CO-OPS-SOP-083,Preparation of Trichomonas vaginalis 1 million Genome Equivalents/µL stocks,2,Operations,Standard Operating Procedure,QMS,Corporate,QS-MFG-196,Active
508,CO-OPS-SOP-084,Preparation of Trichomonas vaginalis 100 thousand Genome Equivalents/µL stocks,2,Operations,Standard Operating Procedure,QMS,Corporate,QS-MFG-197,Active
509,CO-OPS-SOP-085,Preparation of Chlamydia trachomatis 1 million Genome Equivalents/µL stocks,2,Operations,Standard Operating Procedure,QMS,Corporate,QS-MFG-198,Active
510,CO-OPS-SOP-086,Preparation of Chlamydia trachomatis 100 thousand Genome Equivalents/µL stocks,2,Operations,Standard Operating Procedure,QMS,Corporate,QS-MFG-199,Out For Revision
511,CO-OPS-SOP-087,Preparation of Neisseria gonorrhoeae 1 million Genome Equivalents/µL stocks,2,Operations,Standard Operating Procedure,QMS,Corporate,QS-MFG-200,Active
512,CO-OPS-SOP-088,Preparation of Neisseria gonorrhoeae 100 thousand Genome Equivalents/µL stocks,2,Operations,Standard Operating Procedure,QMS,Corporate,QS-MFG-201,Active
513,CO-OPS-SOP-089,Preparation of vaginal swab samples,4,Operations,Standard Operating Procedure,QMS,Corporate,QS-MFG-136,Active
514,CO-OPS-SOP-090,MFG for preparing male and female urine with 10% eNAT,3,Operations,Standard Operating Procedure,QMS,Corporate,QS-MFG-137,Active
515,CO-OPS-SOP-091,Manufacture of TV/IC Detection Reagent,5,Operations,Standard Operating Procedure,QMS,Corporate,QS-MFG-190,Active
516,CO-OPS-SOP-092,mSTI Cartridge Manufacture,3,Operations,Standard Operating Procedure,QMS,Corporate,QS-MFG-191,Active
517,CO-QA-SOP-093,Corrective and Preventive Action Procedure,7,Quality Assurance,Standard Operating Procedure,QMS,Corporate,QS-MGT-018,Active
