QT9 Document Code,Title,Job Function,Team Name
CO-LAB-SOP-158,Use of NanoDrop SP2000 Spectrophotometer for quantifying nucleic acid and protein samples,COO,C-Suite
CO-LAB-SOP-149,Introducing New Laboratory Equipment,COO,C-Suite
CO-LAB-SOP-135,Use and Completion of MFG documents,COO,C-Suite
CO-LAB-SOP-170,Rapid PCR Rig Work Instructions,COO,C-Suite
CO-LAB-SOP-178,Signal Analyser,COO,C-Suite
CO-CA-SOP-081,Collection of Human samples for QA purposes,COO,C-Suite
CO-QA-SOP-003,Non Conformance Procedure,COO,C-Suite
CO-QA-SOP-004,Internal Audit,COO,C-Suite
CO-QA-SOP-077,Supplier Audit Procedure,COO,C-Suite
CO-QA-SOP-076,Product Complaint Handling,COO,C-Suite
CO-QA-SOP-345,Tools for Root Cause Analysis,COO,C-Suite
CO-QA-SOP-267,Post Market Surveillance,COO,C-Suite
CO-QA-SOP-099,Deviation procedure,COO,C-Suite
CO-QA-SOP-093,CAPA Procedure,COO,C-Suite
CO-CA-POL-009,Policy for Verification and Validation,COO,C-Suite
CO-QA-SOP-285,Hazard Analysis Procedure,COO,C-Suite
CO-QA-SOP-284,FMEA Procedure,COO,C-Suite
CO-QA-SOP-283,Product Risk Management ,COO,C-Suite
CO-SUP-SOP-068,Purchasing SOP,COO,C-Suite
CO-SUP-SOP-072,Instructions for receipt of incoming Non-Stock goods- assigning GRN numbers and labelling,COO,C-Suite
CO-SUP-SOP-280,Setting Expiry Dates for Incoming Materials,COO,C-Suite
CO-OPS-SOP-192,Verification Testing Process SOP,COO,C-Suite
CO-OPS-SOP-188,Process Validation,COO,C-Suite
CO-OPS-SOP-002,Planning for Process Validation,COO,C-Suite
CO-OPS-SOP-032,Validation of Automated Equipment and Quality System Software,COO,C-Suite
CO-OPS-SOP-034,Test Method Validation,COO,C-Suite
CO-IT-POL-022,Access Control Policy,COO,C-Suite
CO-IT-POL-023,Asset Management Policy,COO,C-Suite
CO-IT-POL-024,Business Continuity and Disaster Recovery,COO,C-Suite
CO-IT-POL-025,Code of Conduct,COO,C-Suite
CO-IT-POL-026,Cryptography Policy,COO,C-Suite
CO-IT-POL-027,Human Resource Security Policy,COO,C-Suite
CO-IT-POL-028,Information Security Policy,COO,C-Suite
CO-IT-POL-029,Information Security Roles and Responsibilities,COO,C-Suite
CO-IT-POL-030,Physical Security Policy,COO,C-Suite
CO-IT-POL-031,Responsible Disclosure Policy,COO,C-Suite
CO-IT-POL-032,Risk Management ,COO,C-Suite
CO-IT-POL-033,Third Party Management,COO,C-Suite
CO-QA-SOP-030,Accessing and Finding Documents in QT9,COO,C-Suite
CO-QA-SOP-031,Revising and Introducing Documents in QT9,COO,C-Suite
CO-QA-SOP-026,Use of Sharepoint,COO,C-Suite
CO-QA-POL-006,Policy for Document Control and Change Management,COO,C-Suite
CO-QA-POL-015,Policy for the use of Electronic Signatures within binx health,COO,C-Suite
CO-QA-SOP-012,Annual Quality Objectives ,COO,C-Suite
CO-QA-POL-021,Quality Manual,COO,C-Suite
CO-QA-POL-019,Quality Policy,COO,C-Suite
CO-QA-SOP-043,Training Procedure,COO,C-Suite
CO-IT-SOP-044,IT Management- Backup- and Support,COO,C-Suite
CO-CS-POL-012,Policy for Customer Feedback and Device Vigilance,COO,C-Suite
CO-QA-POL-013,Policy for Complaints and Vigilance,COO,C-Suite
CO-QA-POL-020,Risk Management Policy,COO,C-Suite
CO-QA-POL-014,Policy for Control of Non Conformance ,COO,C-Suite
CO-QA-SOP-025,Management Review,COO,C-Suite
CO-HR-POL-007,Training Policy,COO,C-Suite
CO-QA-SOP-007,Correction- Removal- and Recall Procedure,COO,C-Suite
CO-OPS-POL-008,Policy for Purchasing and Management of Suppliers,CFO,C-Suite
CO-SUP-SOP-068,Purchasing SOP,CFO,C-Suite
CO-SUP-SOP-069,Supplier Evaluation SOP,CFO,C-Suite
CO-SUP-SOP-070,Supplier Risk Assessment- Approval and Monitoring Procedure,CFO,C-Suite
CO-IT-POL-022,Access Control Policy,CFO,C-Suite
CO-IT-POL-023,Asset Management Policy,CFO,C-Suite
CO-IT-POL-024,Business Continuity and Disaster Recovery,CFO,C-Suite
CO-IT-POL-025,Code of Conduct,CFO,C-Suite
CO-IT-POL-026,Cryptography Policy,CFO,C-Suite
CO-IT-POL-027,Human Resource Security Policy,CFO,C-Suite
CO-IT-POL-028,Information Security Policy,CFO,C-Suite
CO-IT-POL-029,Information Security Roles and Responsibilities,CFO,C-Suite
CO-IT-POL-030,Physical Security Policy,CFO,C-Suite
CO-IT-POL-031,Responsible Disclosure Policy,CFO,C-Suite
CO-IT-POL-032,Risk Management ,CFO,C-Suite
CO-IT-POL-033,Third Party Management,CFO,C-Suite
CO-QA-SOP-030,Accessing and Finding Documents in QT9,CFO,C-Suite
CO-QA-POL-006,Policy for Document Control and Change Management,CFO,C-Suite
CO-QA-POL-015,Policy for the use of Electronic Signatures within binx health,CFO,C-Suite
CO-IT-SOP-044,IT Management Back Up and Support,CFO,C-Suite
CO-QA-SOP-012,Annual Quality Objectives ,CFO,C-Suite
CO-QA-POL-021,Quality Manual,CFO,C-Suite
CO-QA-POL-019,Quality Policy,CFO,C-Suite
CO-QA-SOP-043,Training Procedure,CFO,C-Suite
CO-CS-POL-012,Policy for Customer Feedback and Device Vigilance,CFO,C-Suite
CO-QA-POL-013,Policy for Complaints and Vigilance,CFO,C-Suite
CO-QA-POL-020,Risk Management Policy,CFO,C-Suite
CO-QA-POL-014,Policy for Control of Non Conformance ,CFO,C-Suite
CO-QA-SOP-025,Management Review,CFO,C-Suite
CO-HR-POL-007,Training Policy,CFO,C-Suite
CO-IT-POL-022,Access Control Policy,CCO,C-Suite
CO-IT-POL-023,Asset Management Policy,CCO,C-Suite
CO-IT-POL-024,Business Continuity and Disaster Recovery,CCO,C-Suite
CO-IT-POL-025,Code of Conduct,CCO,C-Suite
CO-IT-POL-026,Cryptography Policy,CCO,C-Suite
CO-IT-POL-027,Human Resource Security Policy,CCO,C-Suite
CO-IT-POL-028,Information Security Policy,CCO,C-Suite
CO-IT-POL-029,Information Security Roles and Responsibilities,CCO,C-Suite
CO-IT-POL-030,Physical Security Policy,CCO,C-Suite
CO-IT-POL-031,Responsible Disclosure Policy,CCO,C-Suite
CO-IT-POL-032,Risk Management ,CCO,C-Suite
CO-IT-POL-033,Third Party Management,CCO,C-Suite
CO-QA-SOP-030,Accessing and Finding Documents in QT9,CCO,C-Suite
CO-QA-POL-006,Policy for Document Control and Change Management,CCO,C-Suite
CO-QA-SOP-043,Training Procedure,CCO,C-Suite
CO-QA-POL-015,Policy for the use of Electronic Signatures within binx health,CCO,C-Suite
CO-QA-SOP-012,Annual Quality Objectives ,CCO,C-Suite
CO-QA-POL-021,Quality Manual,CCO,C-Suite
CO-QA-POL-019,Quality Policy,CCO,C-Suite
CO-QA-POL-043,Training Procedure,CCO,C-Suite
CO-CS-POL-012,Policy for Customer Feedback and Device Vigilance,CCO,C-Suite
CO-QA-POL-013,Policy for Complaints and Vigilance,CCO,C-Suite
CO-QA-POL-020,Risk Management Policy,CCO,C-Suite
CO-QA-POL-014,Policy for Control of Non Conformance ,CCO,C-Suite
CO-QA-SOP-025,Management Review,CCO,C-Suite
CO-HR-POL-007,Training Policy,CCO,C-Suite
CO-QA-SOP-140,Document Control & Control of Quality Records,Human Resources,Human Resources
CO-QA-SOP-028,Quality Records,Human Resources,Human Resources
CO-QA-SOP-025,Management Review,Human Resources,Human Resources
CO-QA-POL-006,Policy for Document Control and Change Management,Human Resources,Human Resources
CO-HR-POL-007,Training Policy,Human Resources,Human Resources
CO-OPS-POL-008,Policy for Purchasing and Management of Suppliers,Human Resources,Human Resources
CO-IT-POL-022,Access Control Policy,Human Resources,Human Resources
CO-IT-POL-023,Asset Management Policy,Human Resources,Human Resources
CO-IT-POL-024,Business Continuity and Disaster Recovery,Human Resources,Human Resources
CO-IT-POL-025,Code of Conduct,Human Resources,Human Resources
CO-IT-POL-026,Cryptography Policy,Human Resources,Human Resources
CO-IT-POL-027,Human Resource Security Policy,Human Resources,Human Resources
CO-IT-POL-028,Information Security Policy,Human Resources,Human Resources
CO-IT-POL-029,Information Security Roles and Responsibilities,Human Resources,Human Resources
CO-IT-POL-030,Physical Security Policy,Human Resources,Human Resources
CO-IT-POL-031,Responsible Disclosure Policy,Human Resources,Human Resources
CO-IT-POL-032,Risk Management ,Human Resources,Human Resources
CO-IT-POL-033,Third Party Management,Human Resources,Human Resources
CO-QA-SOP-030,Accessing and Finding Documents in QT9,Human Resources,Human Resources
CO-QA-SOP-031,Revising and Introducing Documents in QT9,Human Resources,Human Resources
CO-QA-SOP-237,QT9 � Periodic Review and Making Document Obsolete,Human Resources,Human Resources
CO-QA-SOP-098,Document Matrix,Human Resources,Human Resources
CO-QA-SOP-026,Use of Sharepoint,Human Resources,Human Resources
CO-QA-POL-015,Policy for the use of Electronic Signatures within binx health,Human Resources,Human Resources
CO-IT-SOP-044,IT Management Back Up and Support,Human Resources,Human Resources
CO-QA-SOP-012,Annual Quality Objectives ,Human Resources,Human Resources
CO-QA-POL-021,Quality Manual,Human Resources,Human Resources
CO-QA-POL-019,Quality Policy,Human Resources,Human Resources
CO-QA-SOP-043,Training Procedure,Human Resources,Human Resources
CO-QA-SOP-076,Stakeholder Feedback and Product Complaints Handling Procedure,Human Resources,Human Resources
CO-CS-SOP-249,io Insepction using Data Collection Cartridge,Global Customer Support,Customer Support
CO-H&S-P-001,Health & Safety Policy,Global Customer Support,Customer Support
CO-LAB-SOP-095,External and repair Cleaning for io readers used at Atlas,Global Customer Support,Customer Support
CO-LAB-SOP-163,Running End to End CT cartridges on io Readers,Global Customer Support,Customer Support
CO-OPS-PTL-048,IO Release Procedure for Refurbished and Reworked Readers,Global Customer Support,Customer Support
CO-QA-SOP-028,Quality Records,Global Customer Support,Customer Support
CO-QA-SOP-139,Change Management,Global Customer Support,Customer Support
CO-QA-SOP-140,Document Control & Control of Quality Records,Global Customer Support,Customer Support
CO-QA-SOP-267,Post Market Surveillance,Global Customer Support,Customer Support
CO-QA-SOP-274,Applicable Standards Management Procedure,Global Customer Support,Customer Support
CO-QA-SOP-326,Vigilance and Medical Reporting Procedure,Global Customer Support,Customer Support
CO-SAM-SOP-009,Control of Marketing and Promotion,Global Customer Support,Customer Support
CO-SUP-SOP-002,Intrument service and repair,Global Customer Support,Customer Support
CO-SUP-SOP-068,Purchasing SOP,Global Customer Support,Customer Support
CO-SUP-SOP-069,Supplier Evaluation SOP,Global Customer Support,Customer Support
CO-SUP-SOP-070,Supplier Risk Assessment- Approval and Monitoring Procedure,Global Customer Support,Customer Support
CO-IT-POL-022,Access Control Policy,Global Customer Support,Customer Support
CO-IT-POL-023,Asset Management Policy,Global Customer Support,Customer Support
CO-IT-POL-024,Business Continuity and Disaster Recovery,Global Customer Support,Customer Support
CO-IT-POL-025,Code of Conduct,Global Customer Support,Customer Support
CO-IT-POL-026,Cryptography Policy,Global Customer Support,Customer Support
CO-IT-POL-027,Human Resource Security Policy,Global Customer Support,Customer Support
CO-IT-POL-028,Information Security Policy,Global Customer Support,Customer Support
CO-IT-POL-029,Information Security Roles and Responsibilities,Global Customer Support,Customer Support
CO-IT-POL-030,Physical Security Policy,Global Customer Support,Customer Support
CO-IT-POL-031,Responsible Disclosure Policy,Global Customer Support,Customer Support
CO-IT-POL-032,Risk Management ,Global Customer Support,Customer Support
CO-IT-POL-033,Third Party Management,Global Customer Support,Customer Support
CO-QA-SOP-026,Use of Sharepoint,Global Customer Support,Customer Support
CO-QA-SOP-030,Accessing and Finding Documents in QT9,Global Customer Support,Customer Support
CO-QA-SOP-031,Revising and Introducing Documents in QT9,Global Customer Support,Customer Support
CO-QA-SOP-098,Document Matrix,Global Customer Support,Customer Support
CO-QA-SOP-237,QT9 - Periodic Review and Making Documents Obsolete,Global Customer Support,Customer Support
CO-IT-SOP-044,IT Management Back Up and Support,Global Customer Support,Customer Support
CO-QA-POL-015,Policy for the use of Electronic Signatures within binx health,Global Customer Support,Customer Support
CO-QA-POL-019,Quality Policy,Global Customer Support,Customer Support
CO-QA-POL-021,Quality Manual,Global Customer Support,Customer Support
CO-QA-SOP-012,Annual Quality Objectives ,Global Customer Support,Customer Support
CO-QA-SOP-043,Training Procedure,Global Customer Support,Customer Support
CO-QA-SOP-003,Non Conformance Procedure,Global Customer Support,Customer Support
CO-QA-SOP-011,Supplier Corrective Action Response Procedure,Global Customer Support,Customer Support
CO-QA-SOP-093,CAPA Procedure,Global Customer Support,Customer Support
CO-QA-SOP-099,Deviation Procedure,Global Customer Support,Customer Support
CO-QA-SOP-345,Root Cause Analysis,Global Customer Support,Customer Support
CO-QA-SOP-007,Correction- Removal and Recall Procedure,Global Customer Support,Customer Support
CO-QA-SOP-076,Stakeholder Feedback and Product Complaints Handling Procedure,Global Customer Support,Customer Support
CO-QA-SOP-016,Identification and Traceability,Global Customer Support,Customer Support
CO-HR-POL-007,Training Policy,Global Customer Support,Customer Support
CO-QA-POL-006,Policy for Document Control and Change Management,Global Customer Support,Customer Support
CO-QA-SOP-025,Management Review,Global Customer Support,Customer Support
CO-QA-POL-013,Policy for Complaints and Vigilance,Global Customer Support,Customer Support
CO-QA-POL-020,Risk Management Policy,Global Customer Support,Customer Support
CO-CS-POL-012,Policy for Customer Feedback,Global Customer Support,Customer Support
CO-QA-POL-014,Policy for the Control of Non-Conforming product and Corrective/Preventive Action,Global Customer Support,Customer Support
CO-CS-SOP-249,io Insepction using Data Collection Cartridge,Field Service Engineer,Customer Service
CO-H&S-P-001,Health & Safety Policy,Field Service Engineer,Customer Service
CO-QA-SOP-140,Document Control & Control of Quality Records,Field Service Engineer,Customer Service
CO-QA-SOP-139,Change Management,Field Service Engineer,Customer Service
CO-QA-SOP-028,Quality Records,Field Service Engineer,Customer Service
CO-LAB-SOP-095,External and repair Cleaning for io readers used at Atlas,Field Service Engineer,Customer Service
CO-LAB-SOP-163,Running End to End CT cartridges on io Readers,Field Service Engineer,Customer Service
CO-QA-SOP-326,Vigilance and Medical Reporting Procedure,Field Service Engineer,Customer Service
CO-SUP-SOP-002,Intrument service and repair,Field Service Engineer,Customer Service
CO-OPS-PTL-048,IO Release Procedure for Refurbished and Reworked Readers,Field Service Engineer,Customer Service
CO-SUP-SOP-068,Purchasing SOP,Field Service Engineer,Customer Service
CO-SUP-SOP-069,Supplier Evaluation SOP,Field Service Engineer,Customer Service
CO-SUP-SOP-070,Supplier Risk Assessment- Approval and Monitoring Procedure,Field Service Engineer,Customer Service
CO-IT-POL-022,Access Control Policy,Field Service Engineer,Customer Service
CO-IT-POL-023,Asset Management Policy,Field Service Engineer,Customer Service
CO-IT-POL-024,Business Continuity and Disaster Recovery,Field Service Engineer,Customer Service
CO-IT-POL-025,Code of Conduct,Field Service Engineer,Customer Service
CO-IT-POL-026,Cryptography Policy,Field Service Engineer,Customer Service
CO-IT-POL-027,Human Resource Security Policy,Field Service Engineer,Customer Service
CO-IT-POL-028,Information Security Policy,Field Service Engineer,Customer Service
CO-IT-POL-029,Information Security Roles and Responsibilities,Field Service Engineer,Customer Service
CO-IT-POL-030,Physical Security Policy,Field Service Engineer,Customer Service
CO-IT-POL-031,Responsible Disclosure Policy,Field Service Engineer,Customer Service
CO-IT-POL-032,Risk Management ,Field Service Engineer,Customer Service
CO-IT-POL-033,Third Party Management,Field Service Engineer,Customer Service
CO-QA-SOP-026,Use of Sharepoint,Field Service Engineer,Customer Service
CO-QA-SOP-030,Accessing and Finding Documents in QT9,Field Service Engineer,Customer Service
CO-QA-SOP-098,Document Matrix,Field Service Engineer,Customer Service
CO-QA-SOP-237,QT9 � Periodic Review and Making Document Obsolete,Field Service Engineer,Customer Service
CO-QA-SOP-031,Revising and Introducing Documents in QT9,Field Service Engineer,Customer Service
CO-QA-POL-015,Policy for the use of Electronic Signatures within binx health,Field Service Engineer,Customer Service
CO-QA-POL-021,Quality Manual,Field Service Engineer,Customer Service
CO-HR-POL-007,Training Policy,Field Service Engineer,Customer Service
CO-QA-POL-019,Quality Policy,Field Service Engineer,Customer Service
CO-IT-SOP-044,IT Management- Backup- and Support,Field Service Engineer,Customer Service
CO-QA-SOP-043,Training Procedure,Field Service Engineer,Customer Service
CO-QA-SOP-099,Deviation Procedure,Field Service Engineer,Customer Service
CO-QA-SOP-345,Root Cause Analysis,Field Service Engineer,Customer Service
CO-QA-SOP-003,Non Conformance Procedure,Field Service Engineer,Customer Service
CO-QA-SOP-011,Supplier Corrective Action Response Procedure,Field Service Engineer,Customer Service
CO-QA-SOP-093,CAPA Procedure,Field Service Engineer,Customer Service
CO-QA-SOP-007,Correction- Removal- and Recall Procedure ,Field Service Engineer,Customer Service
CO-QA-SOP-076,Stakeholder Feedback and Product Complaints Handling Procedure,Field Service Engineer,Customer Service
CO-QA-SOP-016,Identification and Traceability,Field Service Engineer,Customer Service
CO-QA-SOP-140,Document Control & Control of Quality Records,Customer Support,Customer Support
CO-QA-SOP-139,Change Management,Customer Support,Customer Support
CO-QA-SOP-028,Quality Records,Customer Support,Customer Support
CO-SUP-SOP-048,Raise PO Non Stock and Services,Customer Support,Customer Support
CO-SUP-SOP-049,Receive non sock PO ,Customer Support,Customer Support
CO-QA-SOP-326,Vigilance and Medical Reporting Procedure,Customer Support,Customer Support
CO-QA-SOP-267,Post Market Surveillance,Customer Support,Customer Support
CO-HR-POL-007,Training Policy,Customer Support,Customer Support
CO-SUP-SOP-068,Purchasing SOP,Customer Support,Customer Support
CO-SUP-SOP-069,Supplier Evaluation SOP,Customer Support,Customer Support
CO-SUP-SOP-070,Supplier Risk Assessment- Approval and Monitoring Procedure,Customer Support,Customer Support
CO-IT-POL-022,Access Control Policy,Customer Support,Customer Support
CO-IT-POL-023,Asset Management Policy,Customer Support,Customer Support
CO-IT-POL-024,Business Continuity and Disaster Recovery,Customer Support,Customer Support
CO-IT-POL-025,Code of Conduct,Customer Support,Customer Support
CO-IT-POL-026,Cryptography Policy,Customer Support,Customer Support
CO-IT-POL-027,Human Resource Security Policy,Customer Support,Customer Support
CO-IT-POL-028,Information Security Policy,Customer Support,Customer Support
CO-IT-POL-029,Information Security Roles and Responsibilities,Customer Support,Customer Support
CO-IT-POL-030,Physical Security Policy,Customer Support,Customer Support
CO-IT-POL-031,Responsible Disclosure Policy,Customer Support,Customer Support
CO-IT-POL-032,Risk Management ,Customer Support,Customer Support
CO-IT-POL-033,Third Party Management,Customer Support,Customer Support
CO-QA-SOP-030,Accessing and Finding Documents in QT9,Customer Support,Customer Support
CO-QA-SOP-098,Document Matrix,Customer Support,Customer Support
CO-QA-SOP-237,QT9 � Periodic Review and Making Document Obsolete,Customer Support,Customer Support
CO-QA-SOP-031,Revising and Introducing Documents in QT9,Customer Support,Customer Support
CO-QA-SOP-026,Use of Sharepoint,Customer Support,Customer Support
CO-IT-SOP-044,IT Management Back Up and Support,Customer Support,Customer Support
CO-QA-SOP-012,Annual Quality Objectives ,Customer Support,Customer Support
CO-QA-POL-015,Policy for Use of Electronic Signatures within binx health,Customer Support,Customer Support
CO-QA-POL-021,Quality Manual,Customer Support,Customer Support
CO-QA-POL-019,Quality Policy,Customer Support,Customer Support
CO-QA-SOP-043,Training Procedure,Customer Support,Customer Support
CO-QA-SOP-003,Non-conforming Product Procedure,Customer Support,Customer Support
CO-QA-SOP-093,Corrective and Preventive Action procedure,Customer Support,Customer Support
CO-QA-SOP-011,Supplier Corrective Action Procedure,Customer Support,Customer Support
CO-QA-SOP-345,Root Cause Analysis,Customer Support,Customer Support
CO-QA-SOP-099,Deviation Procedure,Customer Support,Customer Support
CO-QA-SOP-007,Correction- Removal- and Recall Procedure ,Customer Support,Customer Support
CO-QA-SOP-076,Stakeholder Feedback and Product Complaints Handling Procedure,Customer Support,Customer Support
CO-QA-SOP-016,Identification and Traceability,Customer Support,Customer Support
CO-CA-POL-009,Policy for Verification and Validation,RA,Regulatory Affairs
CO-CS-SOP-249,io Insepction using Data Collection Cartridge,RA,Regulatory Affairs
CO-DES-SOP-029,Design and Development Procedure,RA,Regulatory Affairs
CO-DES-SOP-146,Experimental Planning and Review,RA,Regulatory Affairs
CO-DES-SOP-243,CE Mark/Technical File Procedure,RA,Regulatory Affairs
CO-DES-SOP-371,Critical to Quaity and Reagent Design Control ,RA,Regulatory Affairs
CO-H&S-COSHH-013,COSHH risk assessment form for dry ice,RA,Regulatory Affairs
CO-H&S-P-002,PAT Policy,RA,Regulatory Affairs
CO-H&S-PRO-003,Health and Safety Manual Handling,RA,Regulatory Affairs
CO-H&S-PRO-004,Health & Safety Incident and Near Miss Reporting Procedure,RA,Regulatory Affairs
CO-LAB-SOP-082,Use of Rotary Vane Anemometer,RA,Regulatory Affairs
CO-LAB-SOP-152,Reporting & Recording Instrument Failures ,RA,Regulatory Affairs
CO-LAB-SOP-287,Introduction of New microorganisms SOP,RA,Regulatory Affairs
CO-LAB-SOP-301,Preparation of BHI Broth ,RA,Regulatory Affairs
CO-OPS-POL-008,Policy for Purchasing and Management of Suppliers,RA,Regulatory Affairs
CO-OPS-POL-011,WEEE Policy,RA,Regulatory Affairs
CO-OPS-SOP-032,Validation of Automated Equipment and Quality System Software,RA,Regulatory Affairs
CO-OPS-SOP-035,Engineering Drawing Control,RA,Regulatory Affairs
CO-OPS-SOP-036,Instrument Engineering Change Management,RA,Regulatory Affairs
CO-OPS-SOP-172,Tool Changes of the Rhychiger Heat Sealer ,RA,Regulatory Affairs
CO-OPS-SOP-174,Engineering Rework Procedure ,RA,Regulatory Affairs
CO-OPS-SOP-188,Process Validation,RA,Regulatory Affairs
CO-PRD1-SOP-309,Use of the Uninterruptible Power Supply,RA,Regulatory Affairs
CO-QA-POL-010,Policy for Control of Infrastructure Environment and Equipment,RA,Regulatory Affairs
CO-QA-SOP-004,Internal Audit,RA,Regulatory Affairs
CO-QA-SOP-015,Competence of Atlas Auditors,RA,Regulatory Affairs
CO-QA-SOP-028,Quality Records,RA,Regulatory Affairs
CO-QA-SOP-077,Supplier Audit Procedure,RA,Regulatory Affairs
CO-QA-SOP-096,Monitoring and Reporting of Quality Data,RA,Regulatory Affairs
CO-QA-SOP-147,Management of External Regulatory Visit,RA,Regulatory Affairs
CO-QA-SOP-274,Applicable Standards Management Procedure,RA,Regulatory Affairs
CO-QA-SOP-326,Vigilance and Medical Reporting Procedure,RA,Regulatory Affairs
CO-QA-SOP-356,EU Regulatory Strategy and Process,RA,Regulatory Affairs
CO-QA-SOP-357,EU Performance Evaluation,RA,Regulatory Affairs
CO-QC-JA-011,Use of CO-QC-T-118: Detection Reagent Analysis Spreadsheet,RA,Regulatory Affairs
CO-QC-POL-018,Quality Control Policy,RA,Regulatory Affairs
CO-QC-QCP-052,IC DNA in TE Buffer - Raw Material qPCR test,RA,Regulatory Affairs
CO-QC-SOP-021,Use of Stuart SRT6D Roller Mixer,RA,Regulatory Affairs
CO-QC-SOP-154,QC Laboratory Cleaning SOP,RA,Regulatory Affairs
CO-QC-SOP-185,Use of the SB3 Rotator,RA,Regulatory Affairs
CO-SAM-SOP-009,Control of Marketing and Promotion,RA,Regulatory Affairs
CO-SUP-SOP-007,Procedure for Sales Administration& Order Handling,RA,Regulatory Affairs
CO-SUP-SOP-277,Instructions for receipt of incoming Non-Stock goods- assigning GRN numbers and labelling,RA,Regulatory Affairs
CO-SUP-SOP-278,Pilot Line Electronic Stock Control,RA,Regulatory Affairs
CO-SUP-SOP-323,Demand Planning,RA,Regulatory Affairs
CO-IT-POL-022,Access Control Policy,RA,Regulatory Affairs
CO-IT-POL-023,Asset Management Policy,RA,Regulatory Affairs
CO-IT-POL-024,Business Continuity and Disaster Recovery,RA,Regulatory Affairs
CO-IT-POL-025,Code of Conduct,RA,Regulatory Affairs
CO-IT-POL-026,Cryptography Policy,RA,Regulatory Affairs
CO-IT-POL-027,Human Resource Security Policy,RA,Regulatory Affairs
CO-IT-POL-028,Information Security Policy,RA,Regulatory Affairs
CO-IT-POL-029,Information Security Roles and Responsibilities,RA,Regulatory Affairs
