1563	CO-PRD1-SOP-370	-1	Oak House (Core)	70	Oak House
14	CO-DES-SOP-029	-1	Oak House (Core)	70	Oak House
-1	CO-LAB-SOP-188	-1	Oak House (Core)	70	Oak House
-1	CO-LAB-SOP-192	-1	Oak House (Core)	70	Oak House
575	CO-CA-POL-009	-1	Oak House (Core)	70	Oak House
1533	CO-H&S-P-002	-1	Oak House (Core)	70	Oak House
1500	CO-H&S-COSHH-001	-1	Oak House (Core)	70	Oak House
1501	CO-H&S-COSHH-002	-1	Oak House (Core)	70	Oak House
1502	CO-H&S-COSHH-003	-1	Oak House (Core)	70	Oak House
1503	CO-H&S-COSHH-004	-1	Oak House (Core)	70	Oak House
1504	CO-H&S-COSHH-005	-1	Oak House (Core)	70	Oak House
1505	CO-H&S-COSHH-006	-1	Oak House (Core)	70	Oak House
1506	CO-H&S-COSHH-007	-1	Oak House (Core)	70	Oak House
1507	CO-H&S-COSHH-008	-1	Oak House (Core)	70	Oak House
1508	CO-H&S-COSHH-009	-1	Oak House (Core)	70	Oak House
1509	CO-H&S-COSHH-010	-1	Oak House (Core)	70	Oak House
1510	CO-H&S-COSHH-012	-1	Oak House (Core)	70	Oak House
1511	CO-H&S-COSHH-013	-1	Oak House (Core)	70	Oak House
1536	CO-H&S-RA-013	-1	Oak House (Core)	70	Oak House
1645	CO-H&S-CH-015	-1	Oak House (Core)	70	Oak House
1515	CO-H&S-RA-003	-1	Oak House (Core)	70	Oak House
1516	CO-H&S-RA-004	-1	Oak House (Core)	70	Oak House
1521	CO-H&S-RA-009	-1	Oak House (Core)	70	Oak House
1523	CO-H&S-RA-011	-1	Oak House (Core)	70	Oak House
1514	CO-H&S-RA-002	-1	Oak House (Core)	70	Oak House
1517	CO-H&S-RA-005	-1	Oak House (Core)	70	Oak House
1518	CO-H&S-RA-006	-1	Oak House (Core)	70	Oak House
1519	CO-H&S-RA-007	-1	Oak House (Core)	70	Oak House
1538	CO-H&S-RA-014	-1	Oak House (Core)	70	Oak House
1539	CO-H&S-RA-015	-1	Oak House (Core)	70	Oak House
1540	CO-H&S-RA-016	-1	Oak House (Core)	70	Oak House
1541	CO-H&S-RA-017	-1	Oak House (Core)	70	Oak House
1542	CO-H&S-RA-018	-1	Oak House (Core)	70	Oak House
1531	CO-H&S-PRO-007	-1	Oak House (Core)	70	Oak House
1512	CO-H&S-COSHH-014	-1	Oak House (Core)	70	Oak House
952	CO-PRD1-SOP-252	136	Reagent Production Technician	70	Oak House
959	CO-PRD1-SOP-254	136	Reagent Production Technician	70	Oak House
961	CO-PRD1-SOP-255	136	Reagent Production Technician	70	Oak House
963	CO-PRD1-SOP-256	136	Reagent Production Technician	70	Oak House
964	CO-PRD1-SOP-257	136	Reagent Production Technician	70	Oak House
966	CO-PRD1-SOP-258	136	Reagent Production Technician	70	Oak House
967	CO-PRD1-SOP-259	136	Reagent Production Technician	70	Oak House
972	CO-PRD1-SOP-260	136	Reagent Production Technician	70	Oak House
983	CO-PRD1-SOP-268	136	Reagent Production Technician	70	Oak House
996	CO-PRD1-SOP-271	136	Reagent Production Technician	70	Oak House
1164	CO-PRD1-SOP-305	136	Reagent Production Technician	70	Oak House
1179	CO-PRD1-SOP-308	136	Reagent Production Technician	70	Oak House
1208	CO-PRD1-SOP-310	136	Reagent Production Technician	70	Oak House
1211	CO-PRD1-SOP-311	136	Reagent Production Technician	70	Oak House
1214	CO-PRD1-SOP-313	136	Reagent Production Technician	70	Oak House
1222	CO-PRD1-SOP-318	136	Reagent Production Technician	70	Oak House
1223	CO-PRD1-SOP-319	136	Reagent Production Technician	70	Oak House
1734	CO-PRD1-SOP-395	136	Reagent Production Technician	70	Oak House
1735	CO-PRD1-SOP-396	136	Reagent Production Technician	70	Oak House
1775	CO-PRD1-SOP-398	136	Reagent Production Technician	70	Oak House
1096	CO-PRD1-SOP-276	136	Reagent Production Technician	70	Oak House
-1	CO-LAB-SOP-188	-1	Reagent Production Director	70	Oak House
-1	CO-LAB-SOP-192	-1	Reagent Production Director	70	Oak House
590	CO-LAB-SOP-155	-1	Reagent Production Director	70	Oak House
591	CO-LAB-SOP-156	-1	Reagent Production Director	70	Oak House
575	CO-CA-POL-009	-1	Reagent Production Director	70	Oak House
1156	CO-PRD1-SOP-303	-1	Reagent Production Director	70	Oak House
483	CO-DES-SOP-041	-1	Reagent Production Director	70	Oak House
484	CO-DES-SOP-042	-1	Reagent Production Director	70	Oak House
15	CO-DES-SOP-243	-1	Reagent Production Director	70	Oak House
40	CO-DES-SOP-371	-1	Reagent Production Director	70	Oak House
41	CO-DES-SOP-372	-1	Reagent Production Director	70	Oak House
483	CO-DES-SOP-041	-1	Reagent Production Director	70	Oak House
489	CO-LAB-SOP-072	-1	PD Support  (Admin)	70	Oak House
544	CO-LAB-SOP-103	-1	PD Support  (Admin)	70	Oak House
557	CO-LAB-SOP-135	-1	PD Support  (Admin)	70	Oak House
1102	CO-SUP-SOP-279	-1	PD Support  (Admin)	70	Oak House
1103	CO-SUP-SOP-280	-1	PD Support  (Admin)	70	Oak House
590	CO-LAB-SOP-155	-1	PD Support  (Lab)	70	Oak House
591	CO-LAB-SOP-156	-1	PD Support  (Lab)	70	Oak House
553	CO-LAB-SOP-131	-1	PD Support  (Lab)	70	Oak House
548	CO-LAB-SOP-108	-1	PD Support  (Lab)	70	Oak House
598	CO-LAB-SOP-163	-1	PD Support  (Lab)	70	Oak House
552	CO-LAB-SOP-130	-1	PD Support  (Lab)	70	Oak House
1134	CO-LAB-SOP-300	-1	PD Support  (Lab)	70	Oak House
267	CO-LAB-SOP-005	-1	PD Support  (Lab)	70	Oak House
268	CO-LAB-SOP-006	-1	PD Support  (Lab)	70	Oak House
274	CO-LAB-SOP-012	-1	PD Support  (Lab)	70	Oak House
602	CO-LAB-SOP-167	-1	PD Support  (Lab)	70	Oak House
604	CO-LAB-SOP-169	-1	PD Support  (Lab)	70	Oak House
537	CO-QC-SOP-094	-1	PD Support  (Lab)	70	Oak House
575	CO-CA-POL-009	-1	Operations Leadership	84	POC Operations
14	CO-DES-SOP-029	-1	Operations Leadership	84	POC Operations
483	CO-DES-SOP-041	-1	Operations Leadership	84	POC Operations
574	CO-OPS-POL-008	-1	Operations Leadership	84	POC Operations
577	CO-OPS-POL-011	-1	Operations Leadership	84	POC Operations
24	CO-OPS-SOP-002	-1	Operations Leadership	84	POC Operations
474	CO-OPS-SOP-032	-1	Operations Leadership	84	POC Operations
623	CO-OPS-SOP-188	-1	Operations Leadership	84	POC Operations
638	CO-OPS-SOP-192	-1	Operations Leadership	84	POC Operations
-1	CO-SUP-SOP-002	-1	Operations Leadership	84	POC Operations
21	CO-SUP-SOP-385	-1	Operations Leadership	84	POC Operations
22	CO-SUP-SOP-006	-1	Operations Leadership	84	POC Operations
575	CO-CA-POL-009	-1	Operations PMO	84	POC Operations
14	CO-DES-SOP-029	-1	Operations PMO	84	POC Operations
483	CO-DES-SOP-041	-1	Operations PMO	84	POC Operations
544	CO-LAB-SOP-103	-1	Operations PMO	84	POC Operations
574	CO-OPS-POL-008	-1	Operations PMO	84	POC Operations
577	CO-OPS-POL-011	-1	Operations PMO	84	POC Operations
24	CO-OPS-SOP-002	-1	Operations PMO	84	POC Operations
474	CO-OPS-SOP-032	-1	Operations PMO	84	POC Operations
476	CO-OPS-SOP-034	-1	Operations PMO	84	POC Operations
483	CO-DES-SOP-041	-1	Operations PMO	84	POC Operations
623	CO-OPS-SOP-188	-1	Operations PMO	84	POC Operations
638	CO-OPS-SOP-192	-1	Operations PMO	84	POC Operations
267	CO-LAB-SOP-005	-1	Operations Cartridge Engineer	84	POC Operations
548	CO-LAB-SOP-108	-1	Operations Cartridge Engineer	84	POC Operations
575	CO-CA-POL-009	-1	Operations Cartridge Engineer	84	POC Operations
14	CO-DES-SOP-029	-1	Operations Cartridge Engineer	84	POC Operations
483	CO-DES-SOP-041	-1	Operations Cartridge Engineer	84	POC Operations
544	CO-LAB-SOP-103	-1	Operations Cartridge Engineer	84	POC Operations
581	CO-LAB-SOP-149	-1	Operations Cartridge Engineer	84	POC Operations
583	CO-LAB-SOP-151	-1	Operations Cartridge Engineer	84	POC Operations
598	CO-LAB-SOP-163	-1	Operations Cartridge Engineer	84	POC Operations
602	CO-LAB-SOP-167	-1	Operations Cartridge Engineer	84	POC Operations
605	CO-LAB-SOP-170	-1	Operations Cartridge Engineer	84	POC Operations
613	CO-LAB-SOP-178	-1	Operations Cartridge Engineer	84	POC Operations
476	CO-OPS-SOP-034	-1	Operations Cartridge Engineer	84	POC Operations
477	CO-OPS-SOP-035	-1	Operations Cartridge Engineer	84	POC Operations
609	CO-OPS-SOP-174	-1	Operations Cartridge Engineer	84	POC Operations
622	CO-OPS-SOP-187	-1	Operations Cartridge Engineer	84	POC Operations
577	CO-OPS-POL-011	-1	Operations Cartridge Engineer	84	POC Operations
24	CO-OPS-SOP-002	-1	Operations Cartridge Engineer	84	POC Operations
474	CO-OPS-SOP-032	-1	Operations Cartridge Engineer	84	POC Operations
623	CO-OPS-SOP-188	-1	Operations Cartridge Engineer	84	POC Operations
638	CO-OPS-SOP-192	-1	Operations Cartridge Engineer	84	POC Operations
1101	CO-SUP-SOP-278	-1	Operations Cartridge Engineer	84	POC Operations
1512	CO-H&S-COSHH-014	-1	Operations Cartridge Engineer	84	POC Operations
575	CO-CA-POL-009	-1	Operations Quality Engineer	84	POC Operations
14	CO-DES-SOP-029	-1	Operations Quality Engineer	84	POC Operations
483	CO-DES-SOP-041	-1	Operations Quality Engineer	84	POC Operations
544	CO-LAB-SOP-103	-1	Operations Quality Engineer	84	POC Operations
581	CO-LAB-SOP-149	-1	Operations Quality Engineer	84	POC Operations
583	CO-LAB-SOP-151	-1	Operations Quality Engineer	84	POC Operations
577	CO-OPS-POL-011	-1	Operations Quality Engineer	84	POC Operations
24	CO-OPS-SOP-002	-1	Operations Quality Engineer	84	POC Operations
474	CO-OPS-SOP-032	-1	Operations Quality Engineer	84	POC Operations
476	CO-OPS-SOP-034	-1	Operations Quality Engineer	84	POC Operations
477	CO-OPS-SOP-035	-1	Operations Quality Engineer	84	POC Operations
623	CO-OPS-SOP-188	-1	Operations Quality Engineer	84	POC Operations
638	CO-OPS-SOP-192	-1	Operations Quality Engineer	84	POC Operations
1462	CO-PRD1-SOP-355	-1	Operations Quality Engineer	84	POC Operations
14	CO-DES-SOP-029	-1	Product Development (Core)	69	Product Development
1500	CO-H&S-COSHH-001	-1	Product Development (Core)	69	Product Development
1501	CO-H&S-COSHH-002	-1	Product Development (Core)	69	Product Development
1502	CO-H&S-COSHH-003	-1	Product Development (Core)	69	Product Development
1503	CO-H&S-COSHH-004	-1	Product Development (Core)	69	Product Development
1504	CO-H&S-COSHH-005	-1	Product Development (Core)	69	Product Development
1505	CO-H&S-COSHH-006	-1	Product Development (Core)	69	Product Development
1506	CO-H&S-COSHH-007	-1	Product Development (Core)	69	Product Development
1507	CO-H&S-COSHH-008	-1	Product Development (Core)	69	Product Development
1508	CO-H&S-COSHH-009	-1	Product Development (Core)	69	Product Development
1509	CO-H&S-COSHH-010	-1	Product Development (Core)	69	Product Development
1510	CO-H&S-COSHH-012	-1	Product Development (Core)	69	Product Development
1511	CO-H&S-COSHH-013	-1	Product Development (Core)	69	Product Development
1513	CO-H&S-RA-001	-1	Product Development (Core)	69	Product Development
1515	CO-H&S-RA-003	-1	Product Development (Core)	69	Product Development
1516	CO-H&S-RA-004	-1	Product Development (Core)	69	Product Development
1517	CO-H&S-RA-005	-1	Product Development (Core)	69	Product Development
1518	CO-H&S-RA-006	-1	Product Development (Core)	69	Product Development
1519	CO-H&S-RA-007	-1	Product Development (Core)	69	Product Development
1520	CO-H&S-RA-008	-1	Product Development (Core)	69	Product Development
1521	CO-H&S-RA-009	-1	Product Development (Core)	69	Product Development
1522	CO-H&S-RA-010	-1	Product Development (Core)	69	Product Development
1523	CO-H&S-RA-011	-1	Product Development (Core)	69	Product Development
1540	CO-H&S-RA-016	-1	Product Development (Core)	69	Product Development
267	CO-LAB-SOP-005	-1	Product Development (Core)	69	Product Development
268	CO-LAB-SOP-006	-1	Product Development (Core)	69	Product Development
273	CO-LAB-SOP-011	-1	Product Development (Core)	69	Product Development
274	CO-LAB-SOP-012	-1	Product Development (Core)	69	Product Development
329	CO-LAB-SOP-013	-1	Product Development (Core)	69	Product Development
330	CO-LAB-SOP-014	-1	Product Development (Core)	69	Product Development
331	CO-LAB-SOP-015	-1	Product Development (Core)	69	Product Development
335	CO-LAB-SOP-019	-1	Product Development (Core)	69	Product Development
336	CO-LAB-SOP-020	-1	Product Development (Core)	69	Product Development
489	CO-LAB-SOP-072	-1	Product Development (Core)	69	Product Development
503	CO-LAB-SOP-079	-1	Product Development (Core)	69	Product Development
506	CO-LAB-SOP-082	-1	Product Development (Core)	69	Product Development
540	CO-LAB-SOP-097	-1	Product Development (Core)	69	Product Development
543	CO-LAB-SOP-102	-1	Product Development (Core)	69	Product Development
544	CO-LAB-SOP-103	-1	Product Development (Core)	69	Product Development
548	CO-LAB-SOP-108	-1	Product Development (Core)	69	Product Development
551	CO-LAB-SOP-129	-1	Product Development (Core)	69	Product Development
552	CO-LAB-SOP-130	-1	Product Development (Core)	69	Product Development
553	CO-LAB-SOP-131	-1	Product Development (Core)	69	Product Development
557	CO-LAB-SOP-135	-1	Product Development (Core)	69	Product Development
559	CO-LAB-SOP-136	-1	Product Development (Core)	69	Product Development
560	CO-LAB-SOP-137	-1	Product Development (Core)	69	Product Development
561	CO-LAB-SOP-138	-1	Product Development (Core)	69	Product Development
570	CO-LAB-SOP-145	-1	Product Development (Core)	69	Product Development
580	CO-LAB-SOP-148	-1	Product Development (Core)	69	Product Development
581	CO-LAB-SOP-149	-1	Product Development (Core)	69	Product Development
582	CO-LAB-SOP-150	-1	Product Development (Core)	69	Product Development
583	CO-LAB-SOP-151	-1	Product Development (Core)	69	Product Development
584	CO-LAB-SOP-152	-1	Product Development (Core)	69	Product Development
585	CO-LAB-SOP-153	-1	Product Development (Core)	69	Product Development
590	CO-LAB-SOP-155	-1	Product Development (Core)	69	Product Development
591	CO-LAB-SOP-156	-1	Product Development (Core)	69	Product Development
593	CO-LAB-SOP-158	-1	Product Development (Core)	69	Product Development
598	CO-LAB-SOP-163	-1	Product Development (Core)	69	Product Development
602	CO-LAB-SOP-167	-1	Product Development (Core)	69	Product Development
603	CO-LAB-SOP-168	-1	Product Development (Core)	69	Product Development
604	CO-LAB-SOP-169	-1	Product Development (Core)	69	Product Development
613	CO-LAB-SOP-178	-1	Product Development (Core)	69	Product Development
615	CO-LAB-SOP-180	-1	Product Development (Core)	69	Product Development
616	CO-LAB-SOP-181	-1	Product Development (Core)	69	Product Development
870	CO-LAB-SOP-241	-1	Product Development (Core)	69	Product Development
1124	CO-LAB-SOP-290	-1	Product Development (Core)	69	Product Development
1125	CO-LAB-SOP-291	-1	Product Development (Core)	69	Product Development
1128	CO-LAB-SOP-294	-1	Product Development (Core)	69	Product Development
1134	CO-LAB-SOP-300	-1	Product Development (Core)	69	Product Development
623	CO-OPS-SOP-188	-1	Product Development (Core)	69	Product Development
765	CO-OPS-SOP-200	-1	Product Development (Core)	69	Product Development
337	CO-QC-SOP-021	-1	Product Development (Core)	69	Product Development
537	CO-QC-SOP-094	-1	Product Development (Core)	69	Product Development
620	CO-QC-SOP-185	-1	Product Development (Core)	69	Product Development
481	CO-SUP-SOP-068	-1	Product Development (Core)	69	Product Development
487	CO-SUP-SOP-069	-1	Product Development (Core)	69	Product Development
488	CO-SUP-SOP-070	-1	Product Development (Core)	69	Product Development
1101	CO-SUP-SOP-278	-1	Product Development (Core)	69	Product Development
1102	CO-SUP-SOP-279	-1	Product Development (Core)	69	Product Development
1103	CO-SUP-SOP-280	-1	Product Development (Core)	69	Product Development
333	CO-LAB-SOP-017	-1	Product Development (Core)	69	Product Development
338	CO-LAB-SOP-022	-1	Product Development (Core)	69	Product Development
1607	CO-LAB-SOP-045	-1	Product Development (Core)	69	Product Development
618	CO-LAB-SOP-183	-1	Product Development (Core)	69	Product Development
764	CO-LAB-SOP-199	-1	Product Development (Core)	69	Product Development
1512	CO-H&S-COSHH-014	-1	Product Development (Core)	69	Product Development
333	CO-LAB-SOP-017	-1	Product Development (Core)	69	Product Development
338	CO-LAB-SOP-022	-1	Product Development (Core)	69	Product Development
1607	CO-LAB-SOP-045	-1	Product Development (Core)	69	Product Development
-1	DocumentCode	-1	JobRole	-1	TeamName
618	CO-LAB-SOP-183	-1	Product Development (Core)	69	Product Development
764	CO-LAB-SOP-199	-1	Product Development (Core)	69	Product Development
621	CO-OPS-SOP-186	-1	Product Development (Core)	69	Product Development
852	CO-QC-COP-002	-1	Product Development (Core)	69	Product Development
483	CO-DES-SOP-041	-1	Product Development Lead	69	Product Development
484	CO-DES-SOP-042	-1	Product Development Lead	69	Product Development
15	CO-DES-SOP-243	-1	Product Development Lead	69	Product Development
40	CO-DES-SOP-371	-1	Product Development Lead	69	Product Development
41	CO-DES-SOP-372	-1	Product Development Lead	69	Product Development
572	CO-QA-SOP-147	-1	Product Development Lead	69	Product Development
1070	CO-QA-SOP-274	-1	Product Development Lead	69	Product Development
245	CO-SAM-SOP-009	-1	Product Development Lead	69	Product Development
1425	CO-SAM-SOP-352	-1	Product Development Lead	69	Product Development
575	CO-CA-POL-009	-1	Product Development Management	69	Product Development
578	CO-CS-POL-012	-1	Product Development Management	69	Product Development
483	CO-DES-SOP-041	-1	Product Development Management	69	Product Development
484	CO-DES-SOP-042	-1	Product Development Management	69	Product Development
15	CO-DES-SOP-243	-1	Product Development Management	69	Product Development
40	CO-DES-SOP-371	-1	Product Development Management	69	Product Development
41	CO-DES-SOP-372	-1	Product Development Management	69	Product Development
576	CO-QA-POL-010	-1	Product Development Management	69	Product Development
1070	CO-QA-SOP-274	-1	Product Development Management	69	Product Development
1107	CO-QC-POL-018	-1	Product Development Management	69	Product Development
245	CO-SAM-SOP-009	-1	Product Development Management	69	Product Development
1425	CO-SAM-SOP-352	-1	Product Development Management	69	Product Development
502	CO-LAB-SOP-078	-1	Product Development Management	69	Product Development
1120	CO-LAB-SOP-287	-1	Product Development Management	69	Product Development
1126	CO-LAB-SOP-292	-1	Product Development Management	69	Product Development
1135	CO-LAB-SOP-301	-1	Product Development Management	69	Product Development
-1	CO-QC-COP-002 	-1	Product Development Management	69	Product Development
1707	CO-LAB-POL-039	-1	Product Development Management	69	Product Development
505	CO-CA-SOP-081	-1	Product Development Laboratory	69	Product Development
264	CO-LAB-SOP-002	-1	Product Development Laboratory	69	Product Development
265	CO-LAB-SOP-003	-1	Product Development Laboratory	69	Product Development
266	CO-LAB-SOP-004	-1	Product Development Laboratory	69	Product Development
272	CO-LAB-SOP-010	-1	Product Development Laboratory	69	Product Development
332	CO-LAB-SOP-016	-1	Product Development Laboratory	69	Product Development
504	CO-LAB-SOP-080	-1	Product Development Laboratory	69	Product Development
594	CO-LAB-SOP-159	-1	Product Development Laboratory	69	Product Development
605	CO-LAB-SOP-170	-1	Product Development Laboratory	69	Product Development
612	CO-LAB-SOP-177	-1	Product Development Laboratory	69	Product Development
619	CO-LAB-SOP-184	-1	Product Development Laboratory	69	Product Development
1123	CO-LAB-SOP-289	-1	Product Development Laboratory	69	Product Development
1129	CO-LAB-SOP-295	-1	Product Development Laboratory	69	Product Development
1136	CO-LAB-SOP-302	-1	Product Development Laboratory	69	Product Development
24	CO-OPS-SOP-002	-1	Product Development Laboratory	69	Product Development
474	CO-OPS-SOP-032	-1	Product Development Laboratory	69	Product Development
476	CO-OPS-SOP-034	-1	Product Development Laboratory	69	Product Development
638	CO-OPS-SOP-192	-1	Product Development Laboratory	69	Product Development
502	CO-LAB-SOP-078	-1	Product Development Laboratory	69	Product Development
1120	CO-LAB-SOP-287	-1	Product Development Laboratory	69	Product Development
1126	CO-LAB-SOP-292	-1	Product Development Laboratory	69	Product Development
1135	CO-LAB-SOP-301	-1	Product Development Laboratory	69	Product Development
-1	CO-QC-COP-002 	-1	Product Development Laboratory	69	Product Development
857	CO-LAB-SOP-239	-1	Product Development Laboratory	69	Product Development
857	CO-LAB-SOP-239	-1	Product Development Laboratory	69	Product Development
577	CO-OPS-POL-011	-1	Supply Chain (Core)	76	Supply Chain and Logistics
1105	CO-SUP-POL-017	-1	Supply Chain (Core)	76	Supply Chain and Logistics
1245	CO-SUP-SOP-323	-1	Supply Chain (Core)	76	Supply Chain and Logistics
578	CO-CS-POL-012	-1	Supply Chain (Core)	76	Supply Chain and Logistics
920	CO-CS-SOP-248	-1	Supply Chain (Core)	76	Supply Chain and Logistics
-1	CO-SUP-SOP-281	-1	Supply Chain (Core)	76	Supply Chain and Logistics
-1	CO-SUP-SOP-007	-1	Supply Chain (Core)	76	Supply Chain and Logistics
1514	CO-H&S-RA-002	-1	Supply Chain (Core)	76	Supply Chain and Logistics
574	CO-OPS-POL-008	-1	Supply Chain (Core)	76	Supply Chain and Logistics
623	CO-OPS-SOP-188	-1	Supply Chain (Core)	76	Supply Chain and Logistics
580	CO-LAB-SOP-148	-1	Supply Chain (Core)	76	Supply Chain and Logistics
-1	CO-SUP-SOP-001	-1	Supply Chain (Core)	76	Supply Chain and Logistics
1119	CO-QC-SOP-286	-1	Supply Chain (Core)	76	Supply Chain and Logistics
477	CO-OPS-SOP-035	-1	Supply Chain (Core)	76	Supply Chain and Logistics
478	CO-OPS-SOP-036	-1	Supply Chain (Core)	76	Supply Chain and Logistics
1102	CO-SUP-SOP-279	-1	Supply Chain (Core)	76	Supply Chain and Logistics
609	CO-OPS-SOP-174	-1	Supply Chain (Core)	76	Supply Chain and Logistics
1517	CO-H&S-RA-005	-1	Supply Chain (Core)	76	Supply Chain and Logistics
1107	CO-QC-POL-018	-1	Supply Chain (Core)	76	Supply Chain and Logistics
1106	CO-QC-SOP-282	-1	Supply Chain (Core)	76	Supply Chain and Logistics
1540	CO-H&S-RA-016	-1	Supply Chain (Core)	76	Supply Chain and Logistics
972	CO-PRD1-SOP-260	-1	Supply Chain (Core)	76	Supply Chain and Logistics
1103	CO-SUP-SOP-280	-1	Supply Chain (Core)	76	Supply Chain and Logistics
1246	CO-SUP-SOP-324	-1	Supply Chain (Core)	76	Supply Chain and Logistics
1096	CO-PRD1-SOP-276	-1	Supply Chain (Core)	76	Supply Chain and Logistics
575	CO-CA-POL-009	-1	Logistics (Core)	76	Supply Chain and Logistics
578	CO-CS-POL-012	-1	Logistics (Core)	76	Supply Chain and Logistics
920	CO-CS-SOP-248	-1	Logistics (Core)	76	Supply Chain and Logistics
14	CO-DES-SOP-029	-1	Logistics (Core)	76	Supply Chain and Logistics
483	CO-DES-SOP-041	-1	Logistics (Core)	76	Supply Chain and Logistics
574	CO-OPS-POL-008	-1	Logistics (Core)	76	Supply Chain and Logistics
577	CO-OPS-POL-011	-1	Logistics (Core)	76	Supply Chain and Logistics
474	CO-OPS-SOP-032	-1	Logistics (Core)	76	Supply Chain and Logistics
623	CO-OPS-SOP-188	-1	Logistics (Core)	76	Supply Chain and Logistics
1107	CO-QC-POL-018	-1	Logistics (Core)	76	Supply Chain and Logistics
1105	CO-SUP-POL-017	-1	Logistics (Core)	76	Supply Chain and Logistics
-1	CO-SUP-SOP-007	-1	Logistics (Core)	76	Supply Chain and Logistics
-1	CO-SUP-SOP-281	-1	Logistics (Core)	76	Supply Chain and Logistics
1245	CO-SUP-SOP-323	-1	Logistics (Core)	76	Supply Chain and Logistics
1514	CO-H&S-RA-002	-1	Logistics (Core)	76	Supply Chain and Logistics
577	CO-OPS-POL-011	-1	Supply Chain and Logistics (Core)	76	Supply Chain and Logistics
1105	CO-SUP-POL-017	-1	Supply Chain and Logistics (Core)	76	Supply Chain and Logistics
578	CO-CS-POL-012	-1	Supply Chain and Logistics (Core)	76	Supply Chain and Logistics
-1	CO-SUP-SOP-281	-1	Supply Chain and Logistics (Core)	76	Supply Chain and Logistics
920	CO-CS-SOP-248	-1	Supply Chain and Logistics (Core)	76	Supply Chain and Logistics
575	CO-CA-POL-009	-1	Supply Chain and Logistics (Core)	76	Supply Chain and Logistics
14	CO-DES-SOP-029	-1	Supply Chain and Logistics (Core)	76	Supply Chain and Logistics
-1	CO-SUP-SOP-007	-1	Supply Chain and Logistics (Core)	76	Supply Chain and Logistics
